GEOID,n_nodes,connectivity_stored,connectivity_recomputed,efficiency_stored,efficiency_recomputed,accessibility_stored,accessibility_recomputed,equity_stored,equity_recomputed,max_abs_diff,match
01031010600,292,1.215753,1.215753,0.941389,0.941389,12.020548,12.020548,0.393674,0.393674,0.0,True
01031011100,386,1.38601,1.38601,0.928788,0.928788,75.906736,75.906736,0.790996,0.790996,0.0,True
01031011204,492,1.182927,1.182927,0.91613,0.91613,20.04065,20.04065,0.681757,0.681757,0.0,True
01031011205,317,1.33123,1.33123,0.90986,0.90986,55.640379,55.640379,0.604003,0.604003,0.0,True
01031011206,271,1.295203,1.295203,0.931997,0.931997,30.295203,30.295203,0.775481,0.775481,0.0,True
01033020200,394,1.637056,1.637056,0.953981,0.953981,177.050761,177.050761,0.75458,0.75458,0.0,True
01033020400,121,1.404959,1.404959,0.920773,0.920773,21.966942,21.966942,0.705881,0.705881,0.0,True
01035960500,444,1.243243,1.243243,0.940123,0.940123,26.905405,26.905405,0.507608,0.507608,0.0,True
01039961900,489,1.204499,1.204499,0.945497,0.945497,27.263804,27.263804,0.596727,0.596727,0.0,True
01039962100,470,1.391489,1.391489,0.936105,0.936105,79.944681,79.944681,0.716233,0.716233,0.0,True
01039962500,218,1.316514,1.316514,0.920524,0.920524,31.036697,31.036697,0.680614,0.680614,0.0,True
01039962600,195,1.292308,1.292308,0.950249,0.950249,28.194872,28.194872,0.563823,0.563823,0.0,True
01039962700,314,1.343949,1.343949,0.958455,0.958455,36.229299,36.229299,0.615892,0.615892,0.0,True
01041963500,431,1.12065,1.12065,0.941294,0.941294,4.357309,4.357309,0.611763,0.611763,0.0,True
01041963800,451,1.16408,1.16408,0.935041,0.935041,15.414634,15.414634,0.309489,0.309489,0.0,True
01043965200,419,1.128878,1.128878,0.946107,0.946107,14.634845,14.634845,0.500745,0.500745,0.0,True
01043965501,341,1.082111,1.082111,0.907977,0.907977,7.970674,7.970674,0.585554,0.585554,0.0,True
01045020500,382,1.32199,1.32199,0.953766,0.953766,66.225131,66.225131,0.711112,0.711112,0.0,True
01045020801,380,1.136842,1.136842,0.938047,0.938047,20.131579,20.131579,0.69237,0.69237,0.0,True
01047956102,470,1.089362,1.089362,0.911839,0.911839,7.706383,7.706383,0.585258,0.585258,0.0,True
01047956300,289,1.221453,1.221453,0.962895,0.962895,32.539792,32.539792,0.635249,0.635249,0.0,True
01047956400,390,1.44359,1.44359,0.961852,0.961852,90.197436,90.197436,0.70561,0.70561,0.0,True
01047956500,478,1.464435,1.464435,0.967111,0.967111,97.573222,97.573222,0.695319,0.695319,0.0,True
01047956600,351,1.518519,1.518519,0.983619,0.983619,85.51567,85.51567,0.823229,0.823229,0.0,True
01047956701,147,1.142857,1.142857,0.93972,0.93972,18.544218,18.544218,0.703121,0.703121,0.0,True
01047956702,223,1.318386,1.318386,0.910093,0.910093,37.130045,37.130045,0.707023,0.707023,0.0,True
01047956800,362,1.232044,1.232044,0.937888,0.937888,37.58011,37.58011,0.659744,0.659744,0.0,True
01047957100,436,1.135321,1.135321,0.927555,0.927555,4.674312,4.674312,0.549212,0.549212,0.0,True
01047957200,292,1.315068,1.315068,0.955137,0.955137,30.390411,30.390411,0.592334,0.592334,0.0,True
01047957301,436,1.376147,1.376147,0.926085,0.926085,36.385321,36.385321,0.679703,0.679703,0.0,True
01047957302,456,1.252193,1.252193,0.922159,0.922159,11.092105,11.092105,0.529633,0.529633,0.0,True
01049960101,412,1.152913,1.152913,0.937501,0.937501,7.242718,7.242718,0.604888,0.604888,0.0,True
01049960301,204,1.151961,1.151961,0.952589,0.952589,10.862745,10.862745,0.556209,0.556209,0.0,True
01049960302,291,1.175258,1.175258,0.966081,0.966081,14.343643,14.343643,0.57675,0.57675,0.0,True
01049960401,295,1.081356,1.081356,0.957228,0.957228,7.905085,7.905085,0.629136,0.629136,0.0,True
01049960601,227,1.171806,1.171806,0.934243,0.934243,4.61674,4.61674,0.605861,0.605861,0.0,True
01049960701,310,1.193548,1.193548,0.942981,0.942981,14.393548,14.393548,0.462268,0.462268,0.0,True
01049960702,274,1.266423,1.266423,0.955933,0.955933,19.50365,19.50365,0.470068,0.470068,0.0,True
01049960703,470,1.197872,1.197872,0.94774,0.94774,8.319149,8.319149,0.609313,0.609313,0.0,True
01051030101,457,1.159737,1.159737,0.913925,0.913925,10.205689,10.205689,0.580969,0.580969,0.0,True
01051030102,255,1.12549,1.12549,0.937363,0.937363,12.901961,12.901961,0.564861,0.564861,0.0,True
01051030103,279,1.182796,1.182796,0.938943,0.938943,9.985663,9.985663,0.543308,0.543308,0.0,True
01051030802,498,1.216867,1.216867,0.922798,0.922798,22.891566,22.891566,0.557363,0.557363,0.0,True
01051030901,434,1.133641,1.133641,0.911023,0.911023,17.474654,17.474654,0.622147,0.622147,0.0,True
01051030902,414,1.169082,1.169082,0.945107,0.945107,17.908213,17.908213,0.679165,0.679165,0.0,True
01051031001,470,1.242553,1.242553,0.918742,0.918742,34.212766,34.212766,0.620968,0.620968,0.0,True
01051031100,413,1.186441,1.186441,0.930185,0.930185,23.133172,23.133172,0.676952,0.676952,0.0,True
01051031200,374,1.120321,1.120321,0.930499,0.930499,11.962567,11.962567,0.719357,0.719357,0.0,True
01053970200,296,1.324324,1.324324,0.945284,0.945284,48.925676,48.925676,0.635635,0.635635,0.0,True
01055000200,354,1.310734,1.310734,0.940032,0.940032,31.175141,31.175141,0.652487,0.652487,0.0,True
01055000300,228,1.307018,1.307018,0.921732,0.921732,61.877193,61.877193,0.678401,0.678401,0.0,True
01055000500,207,1.400966,1.400966,0.903587,0.903587,43.942029,43.942029,0.759111,0.759111,0.0,True
01055000600,174,1.482759,1.482759,0.972754,0.972754,42.206897,42.206897,0.826406,0.826406,0.0,True
01055000700,169,1.508876,1.508876,0.983563,0.983563,102.556213,102.556213,0.824723,0.824723,0.0,True
01055000800,215,1.511628,1.511628,0.991261,0.991261,96.353488,96.353488,0.757342,0.757342,0.0,True
01055000900,402,1.40796,1.40796,0.952362,0.952362,63.273632,63.273632,0.572604,0.572604,0.0,True
01055001000,109,1.330275,1.330275,0.977562,0.977562,37.633028,37.633028,0.827741,0.827741,0.0,True
01055001700,442,1.409502,1.409502,0.949586,0.949586,55.99095,55.99095,0.695026,0.695026,0.0,True
