GEOID,dtf_A,dtf_B,dtf_pool,abs_diff,energy_rhat
17031190200,0.002921036249580955,0.003549245785270605,0.004614023763417907,0.00062820953568965,1.444553476908231
17031260800,0.004320534768076811,0.003944626376897742,0.004573624529782716,0.0003759083911790695,1.3414623423356729
17031300700,0.0053150824565874055,0.004039614281991399,0.005468692652132456,0.0012754681745960061,1.203000062126946
17031301702,0.00214247455811456,0.0020843586254812863,0.002041168353265843,5.811593263327364e-05,1.404194488973544
17031431302,0.005627794624042615,0.005430044586145932,0.005408468115792764,0.00019775003789668233,1.2106170722746925
17031460302,0.004437136220081794,0.0033988001551130687,0.004716120795226542,0.0010383360649687257,1.3498365981648266
17031460400,0.0028303037696718603,0.0031514674020091116,0.0039031787038078525,0.0003211636323372513,1.2979982122739755
17031480200,0.008117836264774358,0.00991679313412519,0.00972214982015318,0.0017989568693508318,1.318937719311111
17031490902,0.012563111859103415,0.017554935049168385,0.017080782909539516,0.00499182319006497,1.2723972840919435
17031491200,0.0028748284167722238,0.0022515863449248386,0.003833315948680416,0.0006232420718473852,1.4604464939815254
17031520400,0.006186740577594052,0.003887710794708732,0.006046193933567756,0.00229902978288532,1.1127471574506165
17031530200,0.008115942028985468,0.00814451035689967,0.0090269352099005,2.8568327914202385e-05,1.037119320331849
17031560300,0.0022067799793407117,0.002383113935542358,0.002419657959030319,0.00017633395620164638,1.2551114504221923
17031560900,0.01405862557562887,0.013195942534538818,0.014487114935688994,0.000862683041090051,1.5692355124573385
17031620300,0.004682226553215929,0.0051520809207572515,0.005583552180187912,0.0004698543675413225,1.4544402859442673
17031640600,0.014955159782745864,0.011938220354278828,0.01483994613073647,0.003016939428467036,1.3538739642803677
17031660600,0.005355592010035548,0.003768150726029096,0.005180081122025171,0.0015874412840064522,1.4142589350148718
17031670100,0.0032804811372335596,0.004816923232391357,0.003943700278778883,0.0015364420951577973,1.263714411020428
17031670400,0.0023986044483210733,0.002898306038606635,0.0032983005366724605,0.0004997015902855617,1.21598910343569
17031670900,0.005947180969020915,0.006389991255801419,0.006460901014782805,0.00044281028678050394,1.051547655668214
17031671900,0.0038159958180868925,0.003067814854682438,0.003954575818303385,0.0007481809634044545,1.152470916771143
