GEOID,n_nodes,n_edges_dir,orientation_entropy,link_node_ratio,dead_end_frac,n_intersections,circuity_avg,reach_mean,reach_gini,n_reach_sources,uoi_connectivity,uoi_efficiency,uoi_accessibility,uoi_equity,status
06075015802,155,464,1.9736012071070372,1.4967741935483871,0.07741935483870968,123,1.0027016807319793,150.67096774193547,0.017478528234439197,155,1.4967741935483871,0.9973055986801508,150.67096774193547,0.9825214717655608,ok
06075015900,416,1202,1.9519044405861519,1.4447115384615385,0.17307692307692307,324,1.0381886758590653,383.90865384615387,0.04913460575152994,416,1.4447115384615385,0.9632160543193505,383.90865384615387,0.95086539424847,ok
06075016000,198,498,2.0070948171856253,1.2575757575757576,0.31313131313131315,121,1.0827701148525155,195.72727272727272,0.005825661267680162,198,1.2575757575757576,0.9235570748424381,195.72727272727272,0.9941743387323199,ok
06075016101,105,282,1.7904966643940354,1.3428571428571427,0.23809523809523808,70,1.0182974261625881,100.05714285714286,0.01904036695584393,105,1.3428571428571427,0.9820313538142376,100.05714285714286,0.9809596330441561,ok
06075016102,231,634,2.253337156597593,1.3722943722943723,0.21645021645021645,165,1.0297726819564923,222.34632034632034,0.02119865259929917,231,1.3722943722943723,0.9710881027646544,222.34632034632034,0.9788013474007008,ok
06075016200,336,978,2.094493117641727,1.4553571428571428,0.16964285714285715,260,1.0608507133226301,319.1011904761905,0.02982808057282496,336,1.4553571428571428,0.9426397017427239,319.1011904761905,0.9701719194271751,ok
06075016300,261,752,2.192497289029126,1.4406130268199233,0.13026819923371646,197,1.0368483838847895,235.93103448275863,0.051673179292649196,261,1.4406130268199233,0.9644611647589896,235.93103448275863,0.9483268207073507,ok
06075016400,369,1016,2.5036226231327916,1.3766937669376693,0.17073170731707318,280,1.0173021175929233,349.58265582655827,0.033045876677254074,369,1.3766937669376693,0.982992154155874,349.58265582655827,0.9669541233227459,ok
06075016500,277,702,2.5521859719613342,1.2671480144404332,0.26353790613718414,188,1.0517907823973451,174.64981949458485,0.167163431538607,277,1.2671480144404332,0.9507594254826055,174.64981949458485,0.832836568461393,ok
06075016601,120,350,2.217263538342307,1.4583333333333333,0.09166666666666666,93,1.0029194629733773,115.65,0.021827112456165663,120,1.4583333333333333,0.9970890354797564,115.65,0.9781728875438344,ok
